neighborhood,building_id,algorithm,distance_meters,time_minutes,time_seconds,num_traffic_signals,num_crossings,safety_penalties,total_cost,detour_factor,straight_line_distance,num_path_nodes,avg_walking_speed_kmh,signal_density_per_100m,nodes_expanded_forward,nodes_expanded_backward,edges_scanned_forward,edges_scanned_backward,expansions_total,edges_scanned_total
neighborhoodB,319162932,safest path,2071.240827674096,27.142484539199206,1628.5490723519524,5,0,3120.0,5191.240827674094,1.5715511222668759,1317.9595613068225,89,4.578595208591478,0.24140118972136906,671,545,1619,1358,1216,2977
neighborhoodB,319162932,fastest path,1806.5205327824838,24.43112424381654,1465.8674546289924,5,0,5090.0,1465.8674546289924,1.370694963501937,1317.9595613068225,92,4.436604344737946,0.27677515473897085,590,469,1417,1193,1059,2610
neighborhoodB,319162934,shortest path,1573.0996505408318,23.421667009819412,1405.3000205891647,8,0,7440.0,1573.0996505408318,1.4009291764923375,1122.8973433757562,72,4.029857438963635,0.508550109794354,119,302,296,778,421,1074
neighborhoodB,319162934,few_traffic_lights path,1603.172623246529,22.31301796298517,1338.7810777791103,5,0,3760.0,1661.1104181362853,1.4277107633249229,1122.8973433757562,71,4.310952357693652,0.3118815732940022,1140,2020,2632,4807,3160,7439
neighborhoodB,319162934,safest path,1709.4100678737095,23.006717289667996,1380.4030373800797,5,0,3620.0,5329.410067873708,1.5223208763988392,1122.8973433757562,75,4.4580286175152395,0.2924985697679533,473,627,1154,1559,1100,2713
neighborhoodB,319162934,fastest path,1593.7334723540232,22.77846464569179,1366.7078787415076,6,0,7020.0,1366.7078787415076,1.4193046957995257,1122.8973433757562,69,4.19800060401908,0.3764744923840812,240,487,590,1248,727,1838
neighborhoodB,319162936,shortest path,1775.7490057662308,25.431580645533327,1525.8948387319997,7,0,14770.0,1775.7490057662308,1.3177283709181082,1347.5834966875634,103,4.189473781869978,0.39419985466805985,305,319,757,832,624,1589
neighborhoodB,319162936,few_traffic_lights path,2016.0844225105234,26.52705158586544,1591.6230951519265,3,2,9580.0,1605.6295478786828,1.496073844378603,1347.5834966875634,98,4.560064466986821,0.14880329248634633,1855,1134,4229,2727,2989,6956
neighborhoodB,319162936,safest path,2123.810074118994,27.82207382594453,1669.3244295566717,5,0,3800.0,5923.810074118992,1.576013715914034,1347.5834966875634,82,4.580126026705833,0.23542594796637437,651,719,1578,1793,1370,3371
neighborhoodB,319162936,fastest path,1771.7341497930533,24.819442439715093,1489.1665463829056,6,0,11680.0,1489.1665463829056,1.3147490705756462,1347.5834966875634,98,4.283095772428782,0.3386512587512538,609,490,1489,1249,1099,2738
neighborhoodB,319162939,shortest path,1668.450121515799,24.12817852963832,1447.6907117782991,7,0,10570.0,1668.450121515799,1.347923687599722,1237.7927154665897,74,4.148966618759868,0.41955104978747876,209,294,523,761,503,1284
neighborhoodB,319162939,few_traffic_lights path,1749.740966195406,24.241832515062132,1454.509950903728,5,0,8260.0,1712.409338168392,1.4135977246689773,1237.7927154665897,73,4.330714598679558,0.28575658320853503,1223,1817,2813,4326,3040,7139
neighborhoodB,319162939,safest path,1899.9126218614379,25.358600672232537,1521.5160403339523,5,0,3850.0,5749.9126218614365,1.5349198602653433,1237.7927154665897,79,4.495309452800746,0.2631699975286892,452,704,1101,1755,1156,2856
neighborhoodB,319162939,fastest path,1670.8851281140553,23.728383030216992,1423.7029818130195,6,0,10340.0,1423.7029818130195,1.349890904378291,1237.7927154665897,75,4.225029053146001,0.3590911127907554,440,454,1061,1170,894,2231
neighborhoodB,319162942,shortest path,1832.0113604503408,25.960139373081578,1557.6083623848947,7,0,7860.0,1832.0113604503408,1.34390864463147,1363.1963510084568,83,4.234209995844579,0.3820937004604205,252,343,645,892,595,1537
neighborhoodB,319162942,few_traffic_lights path,2124.455227919486,27.83399147000337,1670.0394882002022,3,2,6760.0,1643.5593297718196,1.5584367038159028,1363.1963510084568,89,4.579555677903415,0.1412126723394378,1558,1245,3573,2984,2803,6557
neighborhoodB,319162942,safest path,2118.756202059414,27.759680343727492,1665.5808206236495,5,0,3800.0,5918.756202059412,1.5542560691950313,1363.1963510084568,82,4.579496973649042,0.23598750980127112,770,717,1860,1787,1487,3647
